datetime_stamp,Machine_Id,Plant_Id,Status,Duration_Hours,Downtime_Reason,Maintenance_Cost_USD,Productivity_Loss_USD,ROI_Impact_USD,Availability_Percent,Efficiency_Percent
2025-08-01 00:00:00,CR-101,PL-01,Running,8.0,None,0,0,0,100.0,92.5
2025-08-01 08:00:00,CR-101,PL-01,Downtime,3.1,Bearing Failure,2457,1240,-3697,0.0,0.0
2025-08-01 16:00:00,CR-101,PL-01,Downtime,2.4,Bearing Failure,3516,960,-4476,0.0,0.0
2025-08-02 00:00:00,CR-101,PL-01,Running,8.0,None,0,0,0,100.0,89.3
2025-08-02 08:00:00,CR-101,PL-01,Downtime,3.7,Bearing Failure,2061,1480,-3541,0.0,0.0
2025-08-02 16:00:00,CR-101,PL-01,Downtime,2.9,Bearing Failure,3232,1160,-4392,0.0,0.0
2025-08-03 00:00:00,CR-101,PL-01,Downtime,2.8,Bearing Failure,3330,1120,-4450,0.0,0.0
2025-08-03 08:00:00,CR-101,PL-01,Running,8.0,None,0,0,0,100.0,93.2
2025-08-03 16:00:00,CR-101,PL-01,Downtime,3.8,Electrical Fault,1369,1520,-2889,0.0,0.0
2025-08-04 00:00:00,CR-101,PL-01,Running,8.0,None,0,0,0,100.0,95.0
2025-08-04 08:00:00,CR-101,PL-01,Downtime,5.2,Bearing Failure,3429,2080,-5509,0.0,0.0
2025-08-04 16:00:00,CR-101,PL-01,Downtime,3.1,Electrical Fault,1240,1240,-2480,0.0,0.0
2025-08-05 00:00:00,CR-101,PL-01,Running,8.0,None,0,0,0,100.0,88.8
2025-08-05 08:00:00,CR-101,PL-01,Downtime,2.4,Hydraulic Leak,1198,960,-2158,0.0,0.0
2025-08-05 16:00:00,CR-101,PL-01,Downtime,3.4,Hydraulic Leak,1541,1360,-2901,0.0,0.0
2025-08-06 00:00:00,CR-101,PL-01,Running,8.0,None,0,0,0,100.0,88.8
2025-08-06 08:00:00,CR-101,PL-01,Running,8.0,None,0,0,0,100.0,95.0
2025-08-06 16:00:00,CR-101,PL-01,Downtime,5.9,Sensor Malfunction,493,2360,-2853,0.0,0.0
2025-08-07 00:00:00,CR-101,PL-01,Downtime,3.2,Bearing Failure,3287,1280,-4567,0.0,0.0
2025-08-07 08:00:00,CR-101,PL-01,Running,8.0,None,0,0,0,100.0,93.8
2025-08-07 16:00:00,CR-101,PL-01,Running,8.0,None,0,0,0,100.0,87.7
2025-08-08 00:00:00,CR-101,PL-01,Running,8.0,None,0,0,0,100.0,92.7
2025-08-08 08:00:00,CR-101,PL-01,Running,8.0,None,0,0,0,100.0,87.7
2025-08-08 16:00:00,CR-101,PL-01,Downtime,2.9,Bearing Failure,2592,1160,-3752,0.0,0.0
2025-08-09 00:00:00,CR-101,PL-01,Running,8.0,None,0,0,0,100.0,87.7
2025-08-09 08:00:00,CR-101,PL-01,Running,8.0,None,0,0,0,100.0,91.2
